Vgs,Ids,finger,width
0.65,0.022978497576017103,2.0,50.0
0.675,0.02617182741564842,2.0,50.0
0.7,0.02935710739413784,2.0,50.0
0.725,0.0325343679117392,2.0,50.0
0.75,0.035703639215823604,2.0,50.0
0.775,0.03881245857095178,2.0,50.0
0.8,0.041759713051929756,2.0,50.0
0.825,0.04453671425973657,2.0,50.0
0.85,0.04714350090341255,2.0,50.0
0.875,0.049580774906969396,2.0,50.0
0.9,0.05184935741693432,2.0,50.0
0.925,0.05395007130390565,2.0,50.0
0.95,0.05588370345268384,2.0,50.0
0.975,0.057650989870436105,2.0,50.0
1.0,0.05925260904747603,2.0,50.0
1.025,0.060689178788822545,2.0,50.0
1.05,0.06196125466270122,2.0,50.0
1.075,0.0630693292555185,2.0,50.0
1.1,0.06401383184504189,2.0,50.0
1.125,0.06479512829186092,2.0,50.0
1.15,0.06541352103998452,2.0,50.0
1.175,0.06586924916403085,2.0,50.0
1.2,0.06616248842566594,2.0,50.0
0.0,2.14211685255049e-27,2.0,75.0
0.025,5.876267952489948e-26,2.0,75.0
0.05,1.6119813916008823e-24,2.0,75.0
0.075,4.4219971381095074e-23,2.0,75.0
0.1,1.2130449390628052e-21,2.0,75.0
0.125,3.327632239976937e-20,2.0,75.0
0.15,9.128380959314567e-19,2.0,75.0
0.175,2.5041030056540917e-17,2.0,75.0
0.2,6.869270564926928e-16,2.0,75.0
0.225,1.8843824709936553e-14,2.0,75.0
0.25,5.169249432563998e-13,2.0,75.0
0.275,1.4180316420520062e-11,2.0,75.0
0.3,3.8899530074982217e-10,2.0,75.0
0.325,1.067094267339916e-08,2.0,75.0
0.35,2.927259255817345e-07,2.0,75.0
0.375,8.030059136627476e-06,2.0,75.0
0.4,0.00015344002836916368,2.0,75.0
0.425,0.0007404152328581681,2.0,75.0
0.45,0.0020093273406262937,2.0,75.0
0.475,0.0041133310829557495,2.0,75.0
0.5,0.007093690620401426,2.0,75.0
0.525,0.010874407169628567,2.0,75.0
0.55,0.015272906131640037,2.0,75.0
0.575,0.020025144620946952,2.0,75.0
0.6,0.02485134891313451,2.0,75.0
0.625,0.02966563098171031,2.0,75.0
0.65,0.03446774636402566,2.0,75.0
0.675,0.03925774112347264,2.0,75.0
0.7,0.04403566109120677,2.0,75.0
0.725,0.048801551867608796,2.0,75.0
0.75,0.05355545882373542,2.0,75.0
0.775,0.05821868785642769,2.0,75.0
0.8,0.06263956957789464,2.0,75.0
0.825,0.06680507138960486,2.0,75.0
0.85,0.07071525135511883,2.0,75.0
0.875,0.07437116236045409,2.0,75.0
0.9,0.07777403612540147,2.0,75.0
0.925,0.0809251069558585,2.0,75.0
0.95,0.08382555517902576,2.0,75.0
0.975,0.08647648480565415,2.0,75.0
1.0,0.08887891357121407,2.0,75.0
1.025,0.09103376818323383,2.0,75.0
1.05,0.09294188199405184,2.0,75.0
1.075,0.09460399388327778,2.0,75.0
1.1,0.09602074776756285,2.0,75.0
1.125,0.09719269243779138,2.0,75.0
1.15,0.09812028155997678,2.0,75.0
1.175,0.09880387374604631,2.0,75.0
1.2,0.09924373263849894,2.0,75.0
0.0,2.8561558034006125e-27,2.0,100.0
0.025,7.835023936653206e-26,2.0,100.0
0.05,2.149308522134479e-24,2.0,100.0
0.075,5.895996184145968e-23,2.0,100.0
0.1,1.617393252083728e-21,2.0,100.0
0.125,4.4368429866358524e-20,2.0,100.0
0.15,1.2171174612419337e-18,2.0,100.0
0.175,3.338804007538777e-17,2.0,100.0
0.2,9.159027419902504e-16,2.0,100.0
0.225,2.512509961324864e-14,2.0,100.0
0.25,6.892332576751969e-13,2.0,100.0
0.275,1.8907088560693342e-11,2.0,100.0
0.3,5.186604009997611e-10,2.0,100.0
0.325,1.4227923564532185e-08,2.0,100.0
0.35,3.903012341089789e-07,2.0,100.0
